id,DIAC1_2,DIAC1_3,DIAC4_1,DIAC5_1,ANT2_1,CLIM1_3,CLIM2_5,TFV_G11_GROUP,LITH1_1,LITH2_2,LITH4_2,DEM1_1,DEM2_4,DEM4_1
467,0.308,1.687,2.615718125,174.2,5.861441798,18.33020485,-9.174311927,Conifères,6.64E-10,8.35E-12,8.35E-12,1784,34,292
294,0.309,0.866,8.320701424,57.8,0,20.15668974,-10.09174312,Conifères,0.6931471808,8.35E-12,1.000003099,1647,28,222
476,0.322,1.948,9.610896024,58.6,184.333792,-3.545170712,-11.11111111,Conifères,0.6931471807,8.35E-12,0.9999800352,1656,26,128
288,0.126,0.263,5.795151331,114.2,0,24.84930203,-10.37735849,Conifères,0.6889200149,8.35E-12,8.35E-12,1615,32,45
451,0.156,0.336,6.755432673,76.6,0,11.30004441,-12.5,Conifères,1.200005444,0.1574709183,0.372179767,1552,36,291
450,0.401,1.798,7.859348837,61,72.28710334,11.10771114,-12.32876712,Conifères,0.6975334112,8.35E-12,0.9988856416,1691,32,47
485,0.207,0.365,6.600421884,8,0,-1.949600747,-12.22222222,Conifères,0.5664048824,8.35E-12,8.35E-12,1492,30,58
457,0.36,1.418,9.329177682,97,0,20.36448079,-13.88888889,Conifères,0.6931471808,8.35E-12,0.9999972268,1807,38,138
301,0.027,-0.067,10.59651253,5,0,-5.383627233,-10.57692308,Conifères,0.3725392456,8.35E-12,8.35E-12,1584,22,289
483,0.14,0.394,4.938473017,109,383.8709669,3.312476997,-13.41463415,Conifères,1.039716472,8.35E-12,0.4980197813,1659,27,313
597,0.117,0.191,5.593025826,28.4,36.32770015,0.2304147465,-12.64367816,Conifères,0.9077966874,8.35E-12,0.1694533665,1598,23,299
576,0.231,1.212,2.698428393,30.2,0,14.94124231,-11.2244898,Conifères,0.6931471808,8.35E-12,1.000001136,1592,30,80
